filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	calibration_strand_genome	calibration_strand_genome_start	calibration_strand_genome_end	calibration_strand_strand_start	calibration_strand_strand_end	calibration_strand_num_insertions	calibration_strand_num_deletions	calibration_strand_num_aligned	calibration_strand_num_correct	calibration_strand_identity	calibration_strand_accuracy	calibration_strand_score
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	c6f2bd96-00c7-4b1a-9f81-85f857e9c359	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	90	4	39520.488281	1.25675	2513	False	39520.488281	2513	1.25675	253	4.401319	0.0	74.93111400000001	4.751729	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	374caa0f-96c4-4ba6-b97c-eb97cd54739b	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2892	1	39511.667969	11.24525	22490	True	39511.667969	22490	11.24525	3852	7.4493529999999994	0.0	92.841484	8.041389	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	d1f25d25-84e8-48b3-9e36-a95269538332	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2815	4	39498.972656	13.35	26700	True	39499.050781	26540	13.27	4938	7.7925770000000005	0.0	67.25524899999999	8.041389	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	e0680f77-b2dd-497f-9e54-43199e91c406	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2439	1	39507.65625	30.3785	60757	True	39508.121094	59837	29.918501000000003	12140	7.70858	0.0	124.64151799999999	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	b342f964-ce9c-4313-95fc-4e9324cb2974	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2648	1	39503.710938	10.38875	20777	True	39503.78125	20638	10.31925	3175	7.589874000000001	0.0	112.213921	8.041389	*	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	29ae6811-4af3-4fbf-b167-4443953eee48	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2021	4	39504.371094	13.38575	26771	False	39504.726562	26063	13.03175	5166	6.9268339999999995	0.0	64.331108	7.67587	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	ba0aa197-4875-46fa-b0e1-8bf9163ae70c	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	1488	1	39481.933594	41.07	82140	True	39482.199219	81606	40.803001	15192	7.203241	0.0	133.779465	10.234494	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	f158d9ce-431b-46e5-aeec-5be44d9dd6e7	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	575	2	39535.839844	10.7365	21473	True	39536.316406	20524	10.262	3402	7.346642999999999	0.0	80.77939599999999	9.868977000000001	*	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	14bed173-bf3f-4c09-b99a-408345aaf578	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2167	1	39511.449219	5.4065	10813	True	39511.566406	10575	5.2875	2311	7.3285789999999995	0.0	128.662216	9.503459	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	e8a4fe58-9403-4335-aa1b-a03055e93d96	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	514	1	39515.707031	2.055	4110	True	39515.707031	4110	2.055	521	7.587403999999999	0.0	119.158752	4.751729	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
